# snapshot of SPY daily bars taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted. The file starts on 2024-06-03 so the 20-day lookback is warm before the test window opens on 2024-09-03.
Date,Open,High,Low,Close
2024-06-03,513.848067,514.129729,507.612146,512.663025
2024-06-04,511.361503,513.974358,509.904522,513.236145
2024-06-05,515.547884,519.355444,513.566351,519.335999
2024-06-06,519.637185,520.064568,517.403159,519.326355
2024-06-07,518.354948,521.492354,517.267074,518.694946
2024-06-10,517.88869,520.618099,517.296199,520.297546
2024-06-11,518.753251,521.608936,516.791164,521.550659
2024-06-12,526.096382,528.514961,524.804509,525.834106
2024-06-13,527.572881,527.747711,524.114981,526.892944
2024-06-14,525.367907,527.242549,524.367418,527.21344
2024-06-17,526.533496,532.798526,526.076944,531.409485
2024-06-18,531.467771,532.88592,531.05011,532.759644
2024-06-20,533.682403,534.342894,529.544567,531.312378
2024-06-21,530.492861,531.710929,529.148109,530.600037
2024-06-24,530.424775,532.977841,528.758436,528.875366
2024-06-25,530.093419,531.272531,528.583027,530.911987
2024-06-26,529.801071,532.285918,529.157957,531.574585
2024-06-27,531.438021,532.98743,530.697427,532.412476
2024-06-28,533.182403,536.222755,529.079988,530.317505
2024-07-01,531.691445,531.935058,528.660907,531.408875
2024-07-02,529.810879,534.985229,529.762168,534.985229
2024-07-03,534.673301,537.733102,534.634345,537.372559
2024-07-05,537.674635,540.870814,537.041216,540.471313
2024-07-08,541.250857,542.040163,540.032789,541.094971
2024-07-09,542.049978,542.946459,541.328891,541.621216
2024-07-10,542.839282,547.321748,542.546958,546.980713
2024-07-11,547.097535,547.964814,541.630862,542.264221
2024-07-12,543.384934,549.270616,542.917215,545.684631
2024-07-15,547.672591,550.410805,545.333877,547.185364
2024-07-16,548.491082,550.722561,547.740733,550.430237
2024-07-17,544.524934,546.191272,542.390877,542.712463
2024-07-18,544.242463,545.226672,536.368856,538.54187
2024-07-19,538.308008,539.925636,533.91321,534.965637
2024-07-22,538.873327,541.085358,536.943927,540.481201
2024-07-23,540.373775,542.517586,539.146013,539.63324
2024-07-24,534.839084,535.141163,526.488002,527.403992
2024-07-25,527.520843,533.474804,523.720507,524.655945
2024-07-26,528.427126,533.211671,527.657269,530.531921
2024-07-29,532.071572,533.075229,528.855825,530.84375
2024-07-30,532.305421,533.357848,524.763154,528.154236
2024-07-31,534.955929,539.360481,533.591728,536.739197
2024-08-01,538.45427,540.695504,525.649925,529.138489
2024-08-02,522.063853,523.272167,515.096481,519.286682
2024-08-05,498.56988,510.204868,497.234852,504.163239
2024-08-06,505.956137,516.217169,504.640647,508.81134
2024-08-07,514.969825,518.010177,504.816028,505.410431
2024-08-08,510.526245,517.717722,508.509178,517.094116
2024-08-09,516.275632,520.855579,515.057564,519.37439
2024-08-12,520.563267,522.044397,517.386537,519.647278
2024-08-13,522.823983,528.427095,522.58037,528.193176
2024-08-14,528.982525,531.038669,526.322284,529.859558
2024-08-15,535.462658,539.224038,534.858501,538.941467
2024-08-16,537.333532,540.841603,537.177646,540.149719
2024-08-19,540.55905,545.314392,539.711279,545.314392
2024-08-20,544.866068,546.512897,543.092554,544.427551
2024-08-21,545.470383,547.750573,540.559094,546.298645
2024-08-22,548.189053,548.79321,540.802672,542.010986
2024-08-23,545.236401,548.705456,543.053574,547.769958
2024-08-26,548.793132,549.504465,544.768632,546.464172
2024-08-27,545.197411,547.701766,544.057316,547.214539
2024-08-28,546.873537,547.302299,540.861111,544.037842
2024-08-29,545.996377,549.280283,542.946331,544.086426
2024-08-30,546.44476,549.787131,542.907486,549.280396
2024-09-03,546.152372,546.483713,535.472391,537.976746
2024-09-04,536.144709,540.266631,535.423622,536.875549
2024-09-05,536.817093,539.652729,533.123874,535.569763
2024-09-06,535.891318,537.508885,525.659549,526.55603
2024-09-09,530.736609,533.718437,528.816903,532.451599
2024-09-10,534.351805,535.121662,529.499041,534.770813
2024-09-11,534.683047,541.172886,526.166327,540.256897
2024-09-12,540.831888,545.109757,538.619858,544.807678
2024-09-13,545.411782,548.646977,545.158415,547.653015
2024-09-16,547.389857,548.724854,545.596894,548.461792
2024-09-17,550.664024,552.106257,546.464129,548.685913
2024-09-18,549.338783,554.162343,546.503148,547.058594
2024-09-19,556.423122,558.245347,553.567978,556.39386
2024-09-20,555.031281,556.468094,552.421466,555.432007
2024-09-23,556.497555,557.465214,555.285475,556.820068
2024-09-24,557.611819,558.471974,554.796778,558.41333
2024-09-25,558.257047,558.99013,556.077308,557.181824
2024-09-26,561.423846,561.746419,557.044919,559.390747
2024-09-27,560.456202,561.267437,557.553164,558.579468
2024-09-30,557.553063,561.423759,555.26588,560.817749
2024-10-01,560.465908,561.110994,553.232805,555.793701
2024-10-02,554.904296,557.044899,552.519333,556.02832
2024-10-03,554.562134,556.947098,552.734321,555.01178
2024-10-04,559.439565,560.426792,555.285432,560.055359
2024-10-07,558.413238,559.058384,553.848596,554.992188
2024-10-08,557.55312,560.837375,556.683241,560.241089
2024-10-09,560.231378,564.678793,559.635152,564.121643
2024-10-10,562.782534,564.551704,561.531378,563.134399
2024-10-11,563.056128,567.239613,562.919271,566.506531
2024-10-14,568.109599,572.068293,567.630662,571.139709
2024-10-15,571.403526,571.706531,565.489947,566.702026
2024-10-16,566.702045,569.683235,565.900534,569.165161
2024-10-17,572.693746,572.89903,569.028334,569.21405
2024-10-18,570.895336,572.185568,569.438955,571.403625
2024-10-21,570.680219,571.657662,567.503528,570.46521
2024-10-22,567.943416,571.315607,567.288546,570.162231
2024-10-23,568.148651,568.588512,561.462913,564.952393
2024-10-24,566.897493,566.975705,563.564438,566.174194
