# snapshot of daily closes taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted, covering 2024-09-20 to 2026-09-18. Five hundred rows give the 499 daily returns the book reports.
Date,AAPL,MSFT,JPM,XOM,JNJ
2025-01-23,222.048615,440.643311,258.116669,104.160934,140.032242
2025-01-24,221.174911,438.029327,257.039307,102.751945,140.204132
2025-01-27,228.203934,428.658325,258.019592,104.179848,146.00061
2025-01-28,236.543396,441.126678,259.271606,102.165657,143.603699
2025-01-29,237.635468,436.322815,258.728088,102.761398,144.338989
2025-01-30,235.87822,409.354065,260.329498,103.612473,145.981491
2025-01-31,234.299683,409.423126,259.42688,101.021446,145.293945
2025-02-03,226.367249,405.339447,258.951294,101.267303,145.026566
2025-02-04,231.122742,406.769684,260.048035,103.981255,146.573563
2025-02-05,230.79512,407.677185,262.464691,103.905609,147.719482
2025-02-06,231.539703,410.172882,268.74411,102.534454,146.592651
2025-02-07,225.990005,404.185272,267.676514,102.969437,146.220215
2025-02-10,226.258331,406.621674,263.056702,104.936356,147.28978
2025-02-11,231.197952,405.852325,266.890381,105.598289,149.09462
2025-02-12,235.421967,403.484955,267.336823,102.421181,148.263794
2025-02-13,240.053497,404.964539,268.181183,103.165367,150.164108
2025-02-14,243.104706,402.883179,268.443237,103.270309,149.113693
2025-02-18,242.975525,404.076782,271.704285,105.083084,149.190704
2025-02-19,243.373062,409.137085,271.024872,105.235741,151.982193
2025-02-20,244.327194,411.301697,258.941559,106.857689,153.7052
2025-02-21,244.048904,403.473572,256.457062,105.607834,156.227188
2025-02-24,245.589432,399.312408,253.64241,106.161201,157.613297
2025-02-25,245.5298,393.283203,249.818451,104.69191,159.875366
2025-02-26,238.890656,395.09198,251.167542,104.434311,156.977982
2025-02-27,235.84935,387.975525,251.41983,105.092628,157.603668
2025-02-28,240.361588,392.383789,256.854919,106.218437,158.845398
2025-03-03,236.57489,383.982422,252.94368,102.812355,161.020859
2025-03-04,234.487701,384.100952,242.879059,102.602455,159.230453
2025-03-05,234.298874,396.367004,244.121368,100.598877,158.941681
2025-03-06,233.891373,392.284973,239.278336,102.678787,159.625092
2025-03-07,237.608536,388.74649,235.143814,104.014511,160.452927
2025-03-10,226.089386,375.749023,225.380127,106.66687,161.42511
2025-03-11,219.48996,376.035706,222.390854,104.148079,159.653976
2025-03-12,215.653564,378.822906,221.187363,104.119461,156.756607
2025-03-13,208.398163,374.375153,218.55719,103.680573,156.891357
2025-03-14,212.184891,384.051544,225.593658,106.762276,156.718109
2025-03-17,212.691772,384.189972,227.039749,108.53688,156.746964
2025-03-18,211.389786,379.070038,228.049133,108.422386,158.104218
2025-03-19,213.92421,383.32019,232.067184,110.111107,156.891357
2025-03-20,212.791183,382.351562,231.970139,110.578621,156.920242
2025-03-21,216.935684,386.720215,234.512955,110.196991,157.507431
2025-03-24,219.38063,388.519135,240.753571,110.483215,157.18013
2025-03-25,222.382172,390.574982,243.733139,111.236938,154.995087
2025-03-26,220.175751,385.44519,243.636108,112.839798,155.6689
2025-03-27,222.481583,386.048126,240.811798,112.477257,157.026154
2025-03-28,216.567947,374.404785,235.697037,112.324608,157.584427
2025-03-31,220.772079,371.034393,238.074875,113.469498,159.634705
2025-04-01,221.825607,377.755463,236.483185,113.574448,147.515823
2025-04-02,222.521347,377.706085,238.579559,113.221428,149.54686
2025-04-03,201.947845,368.780853,221.954117,107.267937,153.839981
2025-04-04,187.228409,355.664795,205.34343,99.549377,147.506195
2025-04-07,180.350723,353.707794,209.405762,98.213661,144.984192
2025-04-08,171.365967,350.446075,211.778717,96.143288,144.387421
2025-04-09,197.634415,385.959137,228.838593,100.942352,145.321106
2025-04-10,189.255936,376.925262,221.778336,95.341858,143.126419
2025-04-11,196.938675,383.942871,230.654938,98.404472,146.052673
2025-04-14,201.281967,383.310272,229.209671,98.642998,148.584259
2025-04-15,200.904282,381.254425,227.657028,98.366318,147.871964
2025-04-16,193.082382,367.298218,224.21965,99.406273,148.151108
2025-04-17,195.775833,363.512634,226.514496,102.010925,151.577911
2025-04-21,191.979202,354.953125,223.614212,100.513016,151.048508
2025-04-22,198.518951,362.563843,230.05925,103.327568,151.847443
2025-04-23,203.349258,370.04599,235.225067,102.440262,149.566116
2025-04-24,207.096207,382.806152,238.89679,103.64241,149.13295
2025-04-25,208.000626,387.303375,237.832397,103.585159,148.796066
2025-04-28,208.855377,386.621429,237.510132,103.64241,149.537231
2025-04-29,209.918839,389.467987,238.877243,103.384811,150.076279
2025-04-30,211.200958,390.673798,238.877243,100.780159,150.461319
2025-05-01,212.015945,420.464142,241.093979,100.923264,148.680542
2025-05-02,204.094666,430.229492,246.582031,101.333519,150.278412
2025-05-05,197.674149,431.109161,246.630875,98.528496,149.200317
2025-05-06,197.296448,428.282318,243.39856,99.90239,148.69014
2025-05-07,195.050293,428.321869,243.535278,99.806984,151.414276
2025-05-08,196.282715,433.085968,247.519485,101.199951,149.835632
2025-05-09,197.316345,433.639465,247.138657,102.383018,148.449524
2025-05-12,209.776138,444.047272,253.945023,104.148079,148.372513
2025-05-13,211.905853,443.92868,256.835571,104.434311,142.885788
2025-05-14,211.308716,447.68457,259.403809,103.499298,140.883621
2025-05-15,210.432953,448.694611,261.210358,104.548836,144.012024
2025-05-16,210.243866,449.823425,261.278717,104.173309,145.667664
2025-05-19,207.775787,454.378418,258.661652,102.517174,146.784256
2025-05-20,205.865036,453.685303,259.44281,101.053596,147.910446
2025-05-21,201.117981,448.140076,254.911804,99.811493,147.448425
2025-05-22,200.391495,450.407654,254.550476,99.147118,146.89975
2025-05-23,194.330795,445.773468,254.589508,99.204872,147.217422
2025-05-27,199.247025,456.180634,259.062012,99.676689,148.780457
2025-05-28,199.456024,452.883179,257.30426,98.319046,147.984375
2025-05-29,198.988251,454.190308,258.163605,98.877518,149.10083
2025-05-30,199.883926,455.853821,257.802277,98.501991,150.683289
2025-06-02,200.729843,457.44809,258.446808,99.224144,150.867737
2025-06-03,202.292297,458.438263,260.018982,99.946297,149.916336
2025-06-04,201.844482,459.329468,258.01712,98.501991,148.751312
2025-06-05,199.665024,463.102173,255.80043,98.049438,149.178467
2025-06-06,202.939178,465.775757,259.491669,100.398849,150.508545
2025-06-09,200.481049,468.122559,260.477936,101.072861,150.702698
2025-06-10,201.69519,466.310486,262.294312,103.239326,151.887146
2025-06-11,197.823898,467.993805,261.854858,105.251732,150.731812
2025-06-12,198.241882,474.182648,261.942719,105.656143,152.091003
2025-06-13,195.505112,470.310883,258.730042,107.957405,152.518188
2025-06-16,197.465637,474.450043,264.012939,108.304039,150.692993
2025-06-17,194.699005,473.360779,263.192719,109.767609,147.935822
2025-06-18,195.63446,475.539246,267.528473,108.987679,146.333939
2025-06-20,200.033218,472.72699,268.544037,110.441612,145.421356
2025-06-23,200.530823,481.242889,271.737274,107.591499,146.906754
2025-06-24,199.336578,485.312622,274.657104,104.317741,147.751358
2025-06-25,200.59053,487.451508,277.391357,104.346626,147.838745
2025-06-26,200.033218,492.580811,281.971252,105.906487,147.576599
2025-06-27,200.112839,491.085571,280.369751,105.31913,147.964951
2025-06-30,204.183167,492.541168,283.104004,103.797791,148.295029
2025-07-01,206.820419,487.233612,283.592285,105.184326,151.372574
2025-07-02,211.418213,486.283051,285.144958,106.927139,151.023087
2025-07-03,212.522858,493.957214,290.443573,108.034431,151.459961
2025-07-07,208.94017,492.848114,286.489258,106.984901,150.741531
2025-07-08,208.999878,491.758881,277.471741,109.950562,151.246353
2025-07-09,210.124451,498.581512,277.844604,109.575035,151.722076
2025-07-10,211.388336,496.57135,282.780243,110.663078,153.090973
2025-07-11,210.144348,498.393311,281.475159,111.144524,152.324005
2025-07-14,207.616562,498.096252,283.28064,109.690575,152.246338
2025-07-15,208.104218,500.868866,281.17099,108.718079,150.644455
2025-07-16,209.14917,500.670837,280.454651,108.063324,159.974182
2025-07-17,209.009857,506.691315,284.45813,107.514481,158.226669
2025-07-18,210.164261,505.057465,285.802368,103.768906,158.925674
2025-07-21,211.457993,505.067352,285.508026,104.038521,159.566422
2025-07-22,213.368774,500.324249,285.959381,104.510315,163.032303
2025-07-23,213.119949,500.918335,291.189362,105.848709,164.168198
2025-07-24,212.731842,505.879333,290.983246,106.676781,164.614746
2025-07-25,212.851273,508.681671,293.014404,106.301262,163.391525
2025-07-28,213.020462,507.483459,292.680786,107.302658,161.372177
2025-07-29,210.253845,507.552795,291.464111,108.689194,163.207047
2025-07-30,208.04451,508.216248,294.005463,107.745575,162.381836
2025-07-31,206.571609,528.277832,290.679047,107.495232,159.935364
2025-08-01,201.406601,518.979858,283.93808,105.569481,162.449799
2025-08-04,202.371918,530.396912,288.736237,103.383759,166.05159
2025-08-05,201.943985,522.584167,285.900513,103.258583,165.760361
2025-08-06,212.224304,519.801697,285.88089,102.555687,165.614716
2025-08-07,218.971695,515.741821,281.55365,102.016472,166.527328
2025-08-08,228.246872,516.930115,283.339508,102.83493,168.274826
2025-08-11,226.343887,516.66272,284.124451,101.900932,168.750549
2025-08-12,228.804779,524.059631,287.352722,102.189789,167.74086
2025-08-13,232.471252,515.484375,285.076263,103.605209,169.333008
2025-08-14,231.923279,517.365723,288.638153,103.393379,169.624268
2025-08-15,230.737656,515.078308,285.037018,103.49057,171.488297
2025-08-18,230.040237,512.038452,286.057495,103.714096,171.109665
2025-08-19,229.711456,504.780182,285.203857,104.394371,172.614441
2025-08-20,225.178192,500.769836,286.75415,105.473106,173.624115
2025-08-21,224.072266,500.125092,285.998627,106.153397,173.711487
2025-08-22,226.921753,503.090759,290.679047,108.145645,174.060989
2025-08-25,226.323975,500.144989,289.364258,108.592682,173.20665
2025-08-26,228.466034,497.943115,292.965332,108.349724,172.600327
2025-08-27,229.641724,502.604706,293.662018,109.574249,172.893692
2025-08-28,231.704086,505.481079,295.418427,110.157349,171.583252
2025-08-29,231.285614,502.555145,295.761871,111.070862,173.26532
2025-09-02,228.874542,500.997925,294.074158,111.459602,174.135712
2025-09-03,237.592346,501.226074,293.887695,108.757904,174.077026
2025-09-04,238.897507,503.824707,298.116821,109.2341,174.820297
2025-09-05,238.807846,490.960541,288.854004,106.153397,174.497559
2025-09-08,237.004517,494.13443,287.411591,106.75592,174.204178
2025-09-09,233.487503,494.342743,292.258881,107.533394,173.059967
2025-09-10,225.955338,496.286713,294.898407,109.331291,171.915756
2025-09-11,229.183411,496.921509,299.824158,108.98143,174.56601
2025-09-12,233.208527,505.738953,301.148834,109.000862,174.135712
2025-09-15,235.828857,511.154388,303.10141,109.185509,173.49025
2025-09-16,237.273514,504.885956,303.385986,111.449883,172.570999
2025-09-17,238.110443,505.857971,305.897949,112.042709,173.294678
2025-09-18,237.004517,504.300812,307.350159,110.721008,170.321686
2025-09-19,244.596466,513.703369,308.871063,109.642265,172.306946
2025-09-22,255.137512,510.25177,306.575012,108.864799,170.370575
2025-09-23,253.493591,505.074463,306.869354,110.74044,172.688339
2025-09-24,251.381393,505.986908,307.536652,111.33326,172.795929
2025-09-25,255.924606,502.892365,307.56604,112.334251,173.812988
2025-09-26,254.519806,507.286194,310.127014,113.918335,175.749374
2025-09-29,253.493591,510.400543,309.763977,111.002846,177.617264
2025-09-30,253.692856,513.723267,309.50885,109.574249,181.333496
2025-10-01,254.509842,515.468933,304.877472,108.835648,181.949631
2025-10-02,256.183655,511.531311,301.776764,108.155365,181.881165
2025-10-03,257.070374,513.128113,304.210236,110.069885,184.482544
2025-10-06,255.745285,524.256592,304.851105,110.983398,184.013123
2025-10-07,255.536072,519.704041,303.382019,111.041718,184.72702
2025-10-08,257.110229,520.566895,299.773224,110.808472,185.509415
2025-10-09,253.105026,518.136963,301.252197,109.729744,186.868774
2025-10-10,244.36731,506.790283,296.677216,107.611137,186.516724
2025-10-13,246.74852,509.855072,303.658081,109.078606,186.692719
2025-10-14,246.858109,509.378967,297.850525,109.127197,186.643845
2025-10-15,248.422333,509.240112,301.410004,108.466354,186.956787
2025-10-16,246.539291,507.434967,294.360077,107.523682,187.885849
2025-10-17,251.361481,509.388977,293.393829,109.078606,188.961609
2025-10-20,261.274841,512.572693,298.126587,109.525642,189.450592
2025-10-21,261.802917,513.435608,292.930359,109.53537,187.651154
2025-10-22,257.49884,516.292114,289.992126,111.479042,188.68779
2025-10-23,258.624634,516.311951,290.416107,112.713272,188.228134
2025-10-24,261.852722,519.337036,296.23349,112.139885,186.203751
2025-10-27,267.820709,527.182556,299.891541,112.674393,186.105957
2025-10-28,268.009979,537.646423,301.084595,111.790024,182.810226
2025-10-29,268.707397,537.130676,301.232513,113.170013,182.487503
2025-10-30,270.401154,521.469482,305.107513,111.459602,184.883499
2025-10-31,269.374939,513.584351,306.763977,111.138893,184.707489
2025-11-03,268.059753,512.81073,305.018768,110.555801,182.154999
2025-11-04,269.046173,510.132843,304.920166,110.925095,182.741776
2025-11-05,269.145813,503.021301,307.316101,110.478058,181.900726
2025-11-06,268.77713,493.043396,309.031799,111.274963,182.84935
2025-11-07,267.481903,492.765686,309.810669,113.918335,182.458176
2025-11-10,268.698608,501.870728,312.453217,114.890182,184.257629
2025-11-11,274.502838,504.5289,311.200958,116.406235,189.558167
2025-11-12,272.727631,506.968842,315.92392,114.792992,190.10582
